m49,alpha3,name,region,income_group,population,population_year,completeness,staleness,priority
288,GHA,Ghana,Sub-Saharan Africa ,Lower middle income,35064272,2025,55.72,47.34,58.82
300,GRC,Greece,Europe & Central Asia,High income,10413962,2025,63.33,40.87,49.86
308,GRD,Grenada,Latin America & Caribbean ,Upper middle income,117303,2025,35.07,64.37,56.19
320,GTM,Guatemala,Latin America & Caribbean ,Upper middle income,18687881,2025,62.97,39.69,52.04
324,GIN,Guinea,Sub-Saharan Africa ,Lower middle income,15099727,2025,40.14,55.43,62.74
624,GNB,Guinea-Bissau,Sub-Saharan Africa ,Low income,2249515,2025,45.65,56.16,54.32
328,GUY,Guyana,Latin America & Caribbean ,High income,835986,2025,42.39,56.3,53.52
332,HTI,Haiti,Latin America & Caribbean ,Lower middle income,11906095,2025,39.86,60.99,63.92
340,HND,Honduras,Latin America & Caribbean ,Lower middle income,11005850,2025,58.33,42.05,52.26
348,HUN,Hungary,Europe & Central Asia,High income,9514251,2025,62.68,43.16,50.52
352,ISL,Iceland,Europe & Central Asia,High income,392404,2025,48.77,50.12,48.62
356,IND,India,South Asia,Lower middle income,1463865525,2025,57.46,44.35,62.13
360,IDN,Indonesia,East Asia & Pacific,Upper middle income,285721236,2025,61.38,41.3,59.77
364,IRN,"Iran, Islamic Republic of","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,92417681,2025,55.07,47.1,62.02
368,IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,47020774,2025,45.29,54.27,65.21
372,IRL,Ireland,Europe & Central Asia,High income,5484367,2025,60.29,43.26,48.65
376,ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,10122800,2025,61.38,44.18,51.3
380,ITA,Italy,Europe & Central Asia,High income,58915656,2025,66.81,38.09,55.1
388,JAM,Jamaica,Latin America & Caribbean ,Upper middle income,2837077,2025,60.87,44.15,47.04
392,JPN,Japan,East Asia & Pacific,High income,123366734,2025,60.36,41.88,59.4
400,JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,11520684,2025,58.41,48.07,54.65
398,KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,20843754,2025,60.94,42.66,54.11
404,KEN,Kenya,Sub-Saharan Africa ,Lower middle income,57532493,2025,62.32,42.12,57.53
296,KIR,Kiribati,East Asia & Pacific,Lower middle income,136488,2025,47.54,50.29,48.36
408,PRK,"Korea, Democratic People's Republic of",East Asia & Pacific,Low income,26571036,2025,33.7,68.36,70.75
410,KOR,"Korea, Republic of",East Asia & Pacific,High income,51684564,2025,64.06,39.4,55.83
414,KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income,4865298,2025,43.99,55.68,56.55
417,KGZ,Kyrgyzstan,Europe & Central Asia,Lower middle income,7343064,2025,61.23,41.96,49.52
418,LAO,Lao People's Democratic Republic,East Asia & Pacific,Lower middle income,7873046,2025,53.99,44.64,52.58
428,LVA,Latvia,Europe & Central Asia,High income,1847785,2025,64.42,40.99,44.01
422,LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,5849421,2025,43.77,55.68,57.75
426,LSO,Lesotho,Sub-Saharan Africa ,Lower middle income,2363325,2025,45.07,49.08,52.3
430,LBR,Liberia,Sub-Saharan Africa ,Low income,5731206,2025,39.71,60.87,60.48
434,LBY,Libya,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,7458555,2025,39.2,61.84,62.09
438,LIE,Liechtenstein,Europe & Central Asia,High income,41024,2025,28.12,70.77,59.34
440,LTU,Lithuania,Europe & Central Asia,High income,2888774,2025,71.16,36.16,41.78
442,LUX,Luxembourg,Europe & Central Asia,High income,686970,2025,59.64,45.22,45.12
450,MDG,Madagascar,Sub-Saharan Africa ,Low income,32740678,2025,45.72,55.72,64.05
