country,country_alpha3,income_group,region,population,missingness_pct
Cambodia,KHM,Lower middle income,East Asia & Pacific,17847982,58.4
Kiribati,KIR,Lower middle income,East Asia & Pacific,136488,67.7
Saint Kitts and Nevis,KNA,High income,Latin America & Caribbean,46922,71.7
"Korea, Republic of",KOR,High income,East Asia & Pacific,51684564,53.6
Kuwait,KWT,High income,"Middle East, North Africa, Afghanistan & Pakistan",4865298,63.6
Lao People's Democratic Republic,LAO,Lower middle income,East Asia & Pacific,7873046,59.7
Lebanon,LBN,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",5849421,64.6
Liberia,LBR,Low income,Sub-Saharan Africa,5731206,66.3
Libya,LBY,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",7458555,71.7
Saint Lucia,LCA,Upper middle income,Latin America & Caribbean,180149,66.6
Liechtenstein,LIE,High income,Europe & Central Asia,41024,82.7
Sri Lanka,LKA,Upper middle income,South Asia,21756000,59.5
Lesotho,LSO,Lower middle income,Sub-Saharan Africa,2363325,64.4
Lithuania,LTU,High income,Europe & Central Asia,2888774,49.2
Luxembourg,LUX,High income,Europe & Central Asia,686970,56.3
Latvia,LVA,High income,Europe & Central Asia,1847785,52.7
Morocco,MAR,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",38430770,57.4
Monaco,MCO,High income,Europe & Central Asia,38341,80.2
"Moldova, Republic of",MDA,Upper middle income,Europe & Central Asia,2360527,51.7
Madagascar,MDG,Low income,Sub-Saharan Africa,32740678,60.5
Maldives,MDV,Upper middle income,South Asia,529676,66.4
Mexico,MEX,Upper middle income,Latin America & Caribbean,131946900,46.3
Marshall Islands,MHL,Upper middle income,East Asia & Pacific,36282,71.8
North Macedonia,MKD,Upper middle income,Europe & Central Asia,1820909,58.1
Mali,MLI,Low income,Sub-Saharan Africa,25198821,61.3
Malta,MLT,High income,"Middle East, North Africa, Afghanistan & Pakistan",579704,54.0
Myanmar,MMR,Lower middle income,East Asia & Pacific,54850648,62.6
Montenegro,MNE,Upper middle income,Europe & Central Asia,623129,59.7
Mongolia,MNG,Upper middle income,East Asia & Pacific,3568978,53.7
Mozambique,MOZ,Low income,Sub-Saharan Africa,35631653,58.5
Mauritania,MRT,Lower middle income,Sub-Saharan Africa,5315065,66.1
Mauritius,MUS,Upper middle income,Sub-Saharan Africa,1243741,54.4
Malawi,MWI,Low income,Sub-Saharan Africa,22216120,61.9
Malaysia,MYS,Upper middle income,East Asia & Pacific,35977838,54.9
Namibia,NAM,Lower middle income,Sub-Saharan Africa,3092816,59.2
Niger,NER,Low income,Sub-Saharan Africa,27917831,60.9
Nigeria,NGA,Lower middle income,Sub-Saharan Africa,237527782,55.2
Nicaragua,NIC,Lower middle income,Latin America & Caribbean,7007502,65.8
Netherlands,NLD,High income,Europe & Central Asia,18087633,53.8
Norway,NOR,High income,Europe & Central Asia,5610870,54.3
Nepal,NPL,Lower middle income,South Asia,29618118,58.2
Nauru,NRU,High income,East Asia & Pacific,12025,70.7
New Zealand,NZL,High income,East Asia & Pacific,5324700,58.8
Oman,OMN,High income,"Middle East, North Africa, Afghanistan & Pakistan",5494691,60.6
Pakistan,PAK,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",255219554,59.1
Panama,PAN,High income,Latin America & Caribbean,4571189,54.7
Peru,PER,Upper middle income,Latin America & Caribbean,34576665,48.2
Philippines,PHL,Upper middle income,East Asia & Pacific,116786962,52.0
Palau,PLW,High income,East Asia & Pacific,17663,72.3
Papua New Guinea,PNG,Lower middle income,East Asia & Pacific,10762817,66.4
Poland,POL,High income,Europe & Central Asia,36435861,49.5
"Korea, Democratic People's Republic of",PRK,Low income,East Asia & Pacific,26571036,76.6
Portugal,PRT,High income,Europe & Central Asia,10804871,50.3
Paraguay,PRY,Upper middle income,Latin America & Caribbean,7013078,54.8
Qatar,QAT,High income,"Middle East, North Africa, Afghanistan & Pakistan",2972215,62.3
Romania,ROU,High income,Europe & Central Asia,19020271,51.9
Russian Federation,RUS,High income,Europe & Central Asia,143513328,54.8
Rwanda,RWA,Low income,Sub-Saharan Africa,14569341,57.2
Saudi Arabia,SAU,High income,"Middle East, North Africa, Afghanistan & Pakistan",36973555,59.5
Sudan,SDN,Low income,Sub-Saharan Africa,51662147,71.0
Senegal,SEN,Lower middle income,Sub-Saharan Africa,18931966,57.0
Singapore,SGP,High income,East Asia & Pacific,6111175,60.7
Solomon Islands,SLB,Lower middle income,East Asia & Pacific,838645,69.6
Sierra Leone,SLE,Low income,Sub-Saharan Africa,8819794,65.3
El Salvador,SLV,Upper middle income,Latin America & Caribbean,6365503,54.6
San Marino,SMR,High income,Europe & Central Asia,34109,78.6
Somalia,SOM,Low income,Sub-Saharan Africa,19654739,67.3
Serbia,SRB,Upper middle income,Europe & Central Asia,6549143,51.3
South Sudan,SSD,Low income,Sub-Saharan Africa,12188788,71.6
Sao Tome and Principe,STP,Lower middle income,Sub-Saharan Africa,240254,67.6
Suriname,SUR,Upper middle income,Latin America & Caribbean,639850,63.7
Slovakia,SVK,High income,Europe & Central Asia,5413813,54.6
Slovenia,SVN,High income,Europe & Central Asia,2130986,51.9
Sweden,SWE,High income,Europe & Central Asia,10596620,52.4
Eswatini,SWZ,Lower middle income,Sub-Saharan Africa,1256174,58.6
Seychelles,SYC,High income,Sub-Saharan Africa,122730,65.4
Syrian Arab Republic,SYR,Low income,"Middle East, North Africa, Afghanistan & Pakistan",25620427,69.5
Chad,TCD,Low income,Sub-Saharan Africa,21003705,66.2
Togo,TGO,Lower middle income,Sub-Saharan Africa,8591626,59.3
Thailand,THA,Upper middle income,East Asia & Pacific,71619863,51.6
Tajikistan,TJK,Lower middle income,Europe & Central Asia,10786734,63.2
Turkmenistan,TKM,Upper middle income,Europe & Central Asia,7618847,68.0
Timor-Leste,TLS,Lower middle income,East Asia & Pacific,1418517,66.3
Tonga,TON,Upper middle income,East Asia & Pacific,103742,64.2
Trinidad and Tobago,TTO,High income,Latin America & Caribbean,1367764,60.1
Tunisia,TUN,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",12348573,58.3
Türkiye,TUR,Upper middle income,Europe & Central Asia,85878556,48.7
Tuvalu,TUV,Upper middle income,East Asia & Pacific,9492,73.2
"Tanzania, United Republic of",TZA,Lower middle income,Sub-Saharan Africa,70545865,58.4
Uganda,UGA,Low income,Sub-Saharan Africa,51384894,57.5
Ukraine,UKR,Upper middle income,Europe & Central Asia,38980376,60.4
Uruguay,URY,High income,Latin America & Caribbean,3384688,55.2
United States,USA,High income,North America,341784857,56.8
Uzbekistan,UZB,Lower middle income,Europe & Central Asia,37053428,55.0
Saint Vincent and the Grenadines,VCT,Upper middle income,Latin America & Caribbean,99924,68.5
"Venezuela, Bolivarian Republic of",VEN,Lower middle income,Latin America & Caribbean,28516896,68.9
Viet Nam,VNM,Upper middle income,East Asia & Pacific,101598527,57.1
Vanuatu,VUT,Lower middle income,East Asia & Pacific,335169,66.9
Samoa,WSM,Upper middle income,East Asia & Pacific,219306,65.6
Yemen,YEM,Low income,"Middle East, North Africa, Afghanistan & Pakistan",41773878,69.7
South Africa,ZAF,Upper middle income,Sub-Saharan Africa,64747319,56.3
Zambia,ZMB,Lower middle income,Sub-Saharan Africa,21913874,57.7
Zimbabwe,ZWE,Lower middle income,Sub-Saharan Africa,16950795,58.0
