excluded_series,description,low_minus_high_income_pp
IT_MOB_2GNTWK,Proportion of population covered by at least a 2G mobile network (%),7.1
IT_MOB_OWN,"Proportion of individuals who own a mobile telephone, by sex (%)",7.05
IT_NET_BBND,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",7.07
IT_USE_ii99,Proportion of individuals using the Internet (%),7.04
IU_COR_BRIB,"Prevalence rate of bribery, by sex (%)",7.1
IU_DMK_INCL,Proportion of population who believe decision-making is inclusive (%),7.05
NV_IND_MANF,Manufacturing value added (constant 2020 United States dollars) as a proportion of GDP (%),7.14
NV_IND_SSIS_NC,Proportion of small-scale industries in total industry value added based on national classification (%),7.04
NV_IND_TECH,Proportion of medium and high-tech manufacturing value added in total value added (%),6.98
NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),7.14
PD_AGR_SSFP,"Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2017 international $)",7.08
SD_CPA_UPRDP,Countries that have national urban policies or regional development plans that respond to population dynamics; ensure balanced territorial development; and increase local fiscal space (1 = YES; 0 = NO),7.14
SD_MDP_MUHC,Proportion of population living in multidimensional poverty (%),6.95
SD_XPD_ESED,"Proportion of total government spending on essential services, education [UIS methodology] (%)",7.13
SE_ACS_CMPTR,"Proportion of schools with access to computers for pedagogical purposes, by education level (%)",6.98
SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",6.93
SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",6.98
SE_ADT_LITR,Youth/adult literacy rate (%),7.25
SE_DEV_ONTRK,"Proportion of children aged 36−59 months who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning (% of children aged 36-59 months)",7.14
SE_GPI_PTNPRE,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)",7.0
SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",6.99
SE_SGE_BIODIV,Score on greening education in biodiversity (%),7.11
SE_TOT_CPLR,"Completion rate, by sex, location, wealth quintile and education level (%)",7.13
SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),6.81
SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",7.17
SG_CPA_MIGRS,"Countries with migration policies to facilitate orderly, safe, regular and responsible migration and mobility of people, by policy domain (1 = Requires further progress; 2 = Partially meets; 3 = Meets; 4 = Fully meets)",7.11
SG_CPA_OFDI,"Number of countries with an outward investment promotion scheme which can benefit developing countries, including LDCs (1 = YES, 0 = NO)",7.17
SG_CPA_SDEVP,Mechanisms in place to enhance policy coherence for sustainable development (%),7.08
SG_DMK_PARLSP_LC,"Number of speakers in parliament, by age and sex , Lower Chamber or Unicameral",7.13
SG_DSR_LGRGSR,Score of adoption and implementation of national DRR strategies in line with the Sendai Framework,7.0
SG_DSR_SILS,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (%),7.02
SG_GEN_EQPWNN,Countries with systems to track and make public allocations for gender equality and women's empowerment (0 = does not meet the requirement; 1 = approached the requirement; 2  =  Fully meets requirement),7.18
SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),7.14
SG_HAZ_CMRBASEL,"Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals (%)",7.14
SG_INF_ACCSS,"Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",7.11
SG_INT_MBRDEV,"Proportion of members of developing countries in international organizations, by organization (%)",7.14
SG_LGL_GENEQEMP,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 3: employment and economic benefits",7.07
SG_LGL_LNDFEMOD,Degree to which the legal framework (including customary law) guarantees women’s equal rights to land ownership and/or control (1=No evidence to 6=Highest levels of guarantees),7.28
SG_NHR_IMPL,Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%),7.14
SG_PLN_MSTKSDG_R,"Number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals, Recipient (1 = YES; 0 = NO)",7.18
SG_PLN_RECNDI,Proportion of project objectives in new development interventions drawn from country-led result frameworks - data by recipient (%),7.18
SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),7.11
SG_REG_CENSUSN,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),6.92
SG_SCP_POLINS,Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),7.13
SG_SCP_PROCN,Number of countries implementing sustainable public procurement policies and action plans,7.05
SG_STT_CAPTY,Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars),7.14
SG_STT_FPOS,Countries with national statistical legislation exists that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO),7.14
SG_STT_NSDSFDDNR,Countries with national statistical plans with funding from donors (1 = YES; 0 = NO),7.14
SG_URB_CSPART,Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically,7.08
SG_XPD_PR,Proportion of government spending which benefits the poorest 20 percent (%),7.11
SH_AAP_ASMORT,"Age-standardized mortality rate attributed to ambient air pollution (deaths per 100,000 population)",7.14
SH_ACS_DTP3,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),7.15
SH_ACS_UNHC_25,"Universal health coverage (UHC) service coverage index, 2025 methodology",7.15
