m49,alpha3,name,region,income_group,population,population_year,statistical_performance,statistical_performance_year,completeness,staleness,priority
231,ETH,Ethiopia,Sub-Saharan Africa,Low income,135472051,2025,61.749,2024,40.25,60.18,72.89
242,FJI,Fiji,East Asia & Pacific,Upper middle income,933154,2025,67.677,2024,40.65,60.75,57.68
246,FIN,Finland,Europe & Central Asia,High income,5646436,2025,90.371,2024,49.78,56.85,58.31
250,FRA,France,Europe & Central Asia,High income,68720337,2025,88.37,2024,48.49,57.14,68.42
266,GAB,Gabon,Sub-Saharan Africa,Upper middle income,2593130,2025,45.482,2024,30.67,70.74,65.55
270,GMB,Gambia,Sub-Saharan Africa,Low income,2822093,2025,67.014,2024,39.0,58.81,59.39
268,GEO,Georgia,Europe & Central Asia,Upper middle income,3935766,2025,87.717,2024,49.73,53.9,56.14
276,DEU,Germany,Europe & Central Asia,High income,83491249,2025,90.055,2024,48.35,58.27,69.26
288,GHA,Ghana,Sub-Saharan Africa,Lower middle income,35064272,2025,65.738,2024,43.25,58.96,67.86
300,GRC,Greece,Europe & Central Asia,High income,10413962,2025,86.584,2024,46.68,58.66,62.11
308,GRD,Grenada,Latin America & Caribbean,Upper middle income,117303,2025,50.81,2024,31.21,71.26,61.43
320,GTM,Guatemala,Latin America & Caribbean,Upper middle income,18687881,2025,79.356,2024,46.13,55.21,63.54
324,GIN,Guinea,Sub-Saharan Africa,Lower middle income,15099727,2025,49.913,2024,31.84,66.96,70.7
624,GNB,Guinea-Bissau,Sub-Saharan Africa,Low income,2249515,2025,47.523,2024,33.67,67.43,63.12
328,GUY,Guyana,Latin America & Caribbean,High income,835986,2025,54.058,2024,34.9,66.03,60.65
332,HTI,Haiti,Latin America & Caribbean,Lower middle income,11906095,2025,38.744,2024,32.44,69.97,70.77
340,HND,Honduras,Latin America & Caribbean,Lower middle income,11005850,2025,65.683,2024,41.92,58.58,64.0
348,HUN,Hungary,Europe & Central Asia,High income,9514251,2025,87.872,2024,47.78,57.06,60.96
352,ISL,Iceland,Europe & Central Asia,High income,392404,2025,81.47,2024,39.06,64.39,57.89
356,IND,India,South Asia,Lower middle income,1463865525,2025,73.718,2024,45.35,57.97,71.78
360,IDN,Indonesia,East Asia & Pacific,Upper middle income,285721236,2025,82.345,2024,48.78,50.9,68.14
364,IRN,"Iran, Islamic Republic of","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,92417681,2025,63.518,2024,36.35,66.32,75.29
368,IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,47020774,2025,53.983,2024,36.16,66.05,73.47
372,IRL,Ireland,Europe & Central Asia,High income,5484367,2025,88.318,2024,43.25,60.13,60.67
376,ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,10122800,2025,90.294,2024,44.78,59.14,62.54
380,ITA,Italy,Europe & Central Asia,High income,58915656,2025,90.931,2024,47.83,55.83,67.91
388,JAM,Jamaica,Latin America & Caribbean,Upper middle income,2837077,2025,73.468,2024,43.05,59.56,58.75
392,JPN,Japan,East Asia & Pacific,High income,123366734,2025,90.993,2024,42.46,59.81,72.0
400,JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,11520684,2025,78.813,2024,44.79,58.36,63.52
398,KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,20843754,2025,84.893,2024,47.06,55.08,63.78
404,KEN,Kenya,Sub-Saharan Africa,Lower middle income,57532493,2025,73.355,2024,46.7,56.08,68.18
296,KIR,Kiribati,East Asia & Pacific,Lower middle income,136488,2025,50.042,2024,32.27,67.95,60.21
408,PRK,"Korea, Democratic People's Republic of",East Asia & Pacific,Low income,26571036,2025,,,23.38,77.81,78.49
410,KOR,"Korea, Republic of",East Asia & Pacific,High income,51684564,2025,91.567,2024,46.41,57.52,68.44
414,KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income,4865298,2025,63.375,2024,36.4,65.02,63.57
417,KGZ,Kyrgyzstan,Europe & Central Asia,Lower middle income,7343064,2025,79.148,2024,44.84,57.43,60.89
418,LAO,Lao People's Democratic Republic,East Asia & Pacific,Lower middle income,7873046,2025,60.841,2024,40.25,58.88,62.85
428,LVA,Latvia,Europe & Central Asia,High income,1847785,2025,88.081,2024,47.35,58.79,56.36
422,LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,5849421,2025,57.814,2024,35.4,66.96,65.65
426,LSO,Lesotho,Sub-Saharan Africa,Lower middle income,2363325,2025,58.24,2024,35.59,61.04,60.71
430,LBR,Liberia,Sub-Saharan Africa,Low income,5731206,2025,59.122,2024,33.65,67.4,66.13
434,LBY,Libya,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,7458555,2025,34.751,2024,28.3,71.48,70.05
438,LIE,Liechtenstein,Europe & Central Asia,High income,41024,2025,,,17.3,82.96,68.16
440,LTU,Lithuania,Europe & Central Asia,High income,2888774,2025,89.361,2024,50.78,54.93,55.3
442,LUX,Luxembourg,Europe & Central Asia,High income,686970,2025,85.818,2024,43.68,61.83,56.78
450,MDG,Madagascar,Sub-Saharan Africa,Low income,32740678,2025,57.497,2024,39.49,61.74,69.57
454,MWI,Malawi,Sub-Saharan Africa,Low income,22216120,2025,64.344,2024,38.14,57.13,67.14
458,MYS,Malaysia,East Asia & Pacific,Upper middle income,35977838,2025,84.991,2024,45.06,59.58,67.83
462,MDV,Maldives,South Asia,Upper middle income,529676,2025,64.374,2024,33.59,67.03,60.71
466,MLI,Mali,Sub-Saharan Africa,Low income,25198821,2025,66.506,2024,38.73,60.08,68.24
470,MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income,579704,2025,83.848,2024,45.97,58.66,54.79
584,MHL,Marshall Islands,East Asia & Pacific,Upper middle income,36282,2025,43.54,2024,28.22,73.75,62.01
478,MRT,Mauritania,Sub-Saharan Africa,Lower middle income,5315065,2025,58.448,2024,33.87,67.55,65.3
480,MUS,Mauritius,Sub-Saharan Africa,Upper middle income,1243741,2025,80.441,2024,45.56,58.26,55.79
484,MEX,Mexico,Latin America & Caribbean,Upper middle income,131946900,2025,90.95,2024,53.65,50.31,65.98
583,FSM,"Micronesia, Federated States of",East Asia & Pacific,Upper middle income,113683,2025,37.103,2024,23.29,78.16,65.72
498,MDA,"Moldova, Republic of",Europe & Central Asia,Upper middle income,2360527,2025,85.674,2024,48.35,53.84,54.9
492,MCO,Monaco,Europe & Central Asia,High income,38341,2025,,,19.81,79.52,66.23
496,MNG,Mongolia,East Asia & Pacific,Upper middle income,3568978,2025,83.733,2024,46.29,55.79,57.35
499,MNE,Montenegro,Europe & Central Asia,Upper middle income,623129,2025,73.892,2024,40.3,63.16,57.88
504,MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,38430770,2025,73.068,2024,42.56,59.9,68.99
508,MOZ,Mozambique,Sub-Saharan Africa,Low income,35631653,2025,66.738,2024,41.49,58.22,68.15
104,MMR,Myanmar,East Asia & Pacific,Lower middle income,54850648,2025,64.521,2024,37.43,64.15,73.22
516,NAM,Namibia,Sub-Saharan Africa,Lower middle income,3092816,2025,55.664,2024,40.83,61.09,60.26
520,NRU,Nauru,East Asia & Pacific,High income,12025,2025,47.94,2024,29.3,71.86,60.76
524,NPL,Nepal,South Asia,Lower middle income,29618118,2025,60.368,2024,41.79,59.52,67.9
528,NLD,Netherlands,Europe & Central Asia,High income,18087633,2025,85.133,2024,46.21,58.1,64.32
554,NZL,New Zealand,East Asia & Pacific,High income,5324700,2025,91.739,2024,41.16,61.11,61.33
558,NIC,Nicaragua,Latin America & Caribbean,Lower middle income,7007502,2025,55.804,2024,34.21,68.6,67.25
562,NER,Niger,Sub-Saharan Africa,Low income,27917831,2025,70.465,2024,39.1,61.0,68.89
566,NGA,Nigeria,Sub-Saharan Africa,Lower middle income,237527782,2025,69.117,2024,44.76,52.53,69.5
807,MKD,North Macedonia,Europe & Central Asia,Upper middle income,1820909,2025,87.173,2024,41.87,61.17,58.46
578,NOR,Norway,Europe & Central Asia,High income,5610870,2025,94.143,2024,45.68,57.97,59.62
512,OMN,Oman,"Middle East, North Africa, Afghanistan & Pakistan",High income,5494691,2025,59.221,2024,39.44,61.69,62.27
586,PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,255219554,2025,68.061,2024,40.87,56.83,72.09
585,PLW,Palau,East Asia & Pacific,High income,17663,2025,60.954,2024,27.75,72.59,61.51
591,PAN,Panama,Latin America & Caribbean,High income,4571189,2025,77.733,2024,45.33,58.34,58.9
598,PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,10762817,2025,43.627,2024,33.59,68.1,68.89
